"rank"	"price_usd"	"24h_volume_usd"	"market_cap_usd"	"available_supply"	"total_supply"	"percent_change_1h"	"percent_change_24h"	"percent_change_7d"	"price_btc"
32	32.8833	560442	202554034	6159784	6579784	0.78	4.72	15.69	0.00500142
30	33.4983	565946	206352070	6160076	6580076	1.93	6.6	17.75	0.00505973
32	33.259	568399	204882583	6160215	6580215	0.47	5.44	16.74	0.00501322
33	33.3012	565167	205149481	6160423	6580423	-0.25	5.47	16.73	0.00503486
30	33.6185	560159	207108852	6160562	6580562	0.76	6.51	17.62	0.00509085
32	33.2939	567426	205116068	6160770	6580770	0.09	5.37	16.33	0.0050311
31	33.576	580582	206855576	6160817	6580817	0.2	5.95	17.13	0.00509419
30	33.9789	612362	209346892	6161085	6581085	1.82	6.82	18.42	0.00516825
30	34.027	587589	209645445	6161150	6581150	0.82	6.56	18.44	0.00514668
30	34.8718	628621	214863298	6161520	6581520	2.52	8.67	21.26	0.00518815
30	35.0612	691065	216033373	6161608	6581608	2.81	9.02	21.8	0.00517588
30	35.0439	695253	215934726	6161835	6581835	1	8.81	21.63	0.00516095
30	35.1594	706030	216649673	6161927	6581927	0.45	9.1	21.97	0.00517325
30	35.3214	709570	217654446	6162113	6582113	0.83	9.6	22.4	0.00517451
30	35.7336	743453	220196123	6162159	6582159	1.8	11.08	23.69	0.00517784
30	35.3843	745471	218051657	6162384	6582384	0.26	10.35	22.32	0.00515306
30	35.2842	795733	217437955	6162474	6582474	-0.99	10.08	21.84	0.00514082
30	34.6922	805577	213793785	6162589	6582589	-2.13	8.45	19.64	0.00506349
30	34.5339	817524	212821396	6162681	6582681	-2.01	8.13	19.07	0.00505067
30	34.4607	838464	212377514	6162890	6582890	-0.98	8.13	18.83	0.00502432
31	34.2402	863304	211020816	6162955	6582955	-0.71	7.67	18.11	0.0049864
30	34.4855	871654	212538016	6163113	6583113	0.38	8.52	19	0.00504083
30	34.7293	876780	214043316	6163191	6583191	1.86	9.09	19.88	0.00505583
30	34.7759	884406	214334384	6163302	6583302	1.05	9.02	20.14	0.00503766
31	34.5299	901810	212822208	6163418	6583418	-0.19	8.09	19.38	0.00498863
31	34.2793	889429	211280829	6163511	6583511	-1.44	7.12	18.6	0.00495009
31	34.1544	874072	210513378	6163580	6583580	-1.18	6.44	18.26	0.00493644
32	33.9845	897983	209473894	6163807	6583807	-0.82	5.56	17.77	0.00490188
31	34.0691	913601	209996929	6163853	6583853	-0.09	5.83	18.18	0.00489971
31	33.8223	911686	208481170	6164015	6584015	-0.71	5.08	17.45	0.00489972
31	34.2563	935576	211161744	6164173	6584173	0.43	6.48	19.07	0.00494289
31	34.5558	960854	213012712	6164311	6584311	2.06	7.68	20.18	0.00496999
30	35.1383	976235	216604237	6164335	6584335	2.47	9.64	22.15	0.00500943
31	34.5922	1065200	213240936	6164423	6584423	0.06	8.17	20.13	0.00486431
31	34.63	1090560	213476997	6164510	6584510	-0.84	8.49	19.89	0.0048601
32	33.2289	1203130	204842978	6164603	6584603	-3.89	3.86	14.57	0.00464666
32	33.0646	1224740	203833960	6164719	6584719	-4.32	2.98	13.54	0.00465989
32	33.3881	1286980	205836438	6164964	6584964	-0.6	3.49	14.3	0.00465067
32	33.5394	1275560	206773078	6165080	6585080	1.04	3.69	14.31	0.00468708
31	34.0309	1303100	209808728	6165242	6585242	1.51	4.97	15.52	0.00471946
31	33.9694	1321100	209431925	6165311	6585311	0.66	4.29	14.89	0.00470228
31	33.9023	1347220	209025137	6165515	6585515	-0.39	3.83	14.29	0.00469124
31	33.7827	1292270	208291651	6165631	6585631	-0.73	3.42	13.48	0.00472688
31	34.2768	1331830	211347609	6165908	6585908	0.93	4.85	14.74	0.00477764
31	34.4527	1354290	212432990	6165932	6585932	1.78	5.2	14.87	0.00478769
31	34.7097	1352040	214019241	6165978	6585978	1.19	5.61	15.34	0.00482882
32	34.3242	1343810	211649248	6166182	6586182	-0.71	4.26	13.67	0.00479668
31	34.6074	1350310	213403520	6166413	6586413	0.06	4.89	14.25	0.00483223
31	35.0614	1336320	216206155	6166501	6586501	1.81	5.98	15.45	0.00485113
31	34.9691	1330070	215643462	6166686	6586686	1.42	5.44	14.89	0.00483965
31	35.0543	1360220	216174543	6166848	6586848	0.28	5.28	14.92	0.00480325
31	34.7856	1364440	214524435	6167047	6587047	-0.8	4.27	13.74	0.00479061
31	35.1128	1357990	216546194	6167158	6587158	0.25	4.82	14.63	0.00482679
31	35.2508	1388810	217404604	6167367	6587367	1.18	4.91	14.8	0.00484585
32	34.1235	1427140	210456081	6167482	6587482	-2.7	0.98	10.74	0.00469153
32	33.7906	1399290	208407619	6167621	6587621	-3.03	-0.73	9.33	0.00466528
32	34.2013	1407770	210947785	6167829	6587829	0.19	-0.35	10.31	0.00469769
32	34.1615	1373470	210707682	6167987	6587987	0.81	-1.15	9.84	0.00470185
32	33.7958	1304790	208455178	6168079	6588079	-0.98	-2.72	8.57	0.00465501
32	33.7018	1313370	207877718	6168149	6588149	-0.98	-3.8	8.3	0.00467359
32	33.7518	1296470	208190032	6168265	6588265	-0.37	-4.18	8.5	0.00471889
32	33.9044	1277280	209139156	6168496	6588496	0.69	-3.91	9.01	0.00473253
32	33.7721	1244750	208325409	6168565	6588565	0.07	-4.27	8.74	0.00468362
32	33.8741	1228380	208966049	6168903	6588903	0.44	-3.77	9.23	0.00470987
32	33.9457	1194590	209410100	6168973	6588973	0.66	-3.29	9.6	0.00471757
32	33.8313	1168600	208710477	6169153	6589153	-0.09	-3.02	9.33	0.00468402
32	34.0225	1148140	209892381	6169223	6589223	-0.28	-1.76	10.03	0.00471323
32	34.0067	1143530	209802731	6169453	6589453	0.06	-1.5	10.06	0.00471903
32	33.9701	1140680	209579178	6169519	6589519	-0.19	-1.41	10.12	0.00471283
32	33.8869	1114750	209071364	6169681	6589681	-0.17	-1.72	9.84	0.00468497
32	33.8487	1111380	208838816	6169774	6589774	-0.21	-1.8	9.64	0.00467936
32	34.0609	1115640	210154979	6169977	6589977	0.41	-1.14	10.18	0.00468085
32	34.1099	1113730	210458887	6170024	6590024	0.55	-0.92	10.07	0.00464742
32	34.0728	1134050	210237708	6170250	6590250	0.45	-0.82	9.76	0.00460544
32	33.8184	1128680	208670814	6170334	6590334	-0.8	-1.23	8.7	0.00457476
32	33.8104	1134370	208626146	6170473	6590473	-1.02	-0.89	8.44	0.00453326
32	34.0109	1136590	209864900	6170519	6590519	0.61	-0.34	8.79	0.00456527
32	34.1502	1167500	210732990	6170769	6590769	1.02	-0.17	8.97	0.00456609
32	33.7956	1148580	208550311	6170931	6590931	-0.55	-1.66	7.67	0.00452275
32	33.7205	1169260	208094366	6171153	6591153	-1.18	-2.04	7.29	0.00450111
32	33.1766	1155810	204739412	6171199	6591199	-2.24	-3.74	5.51	0.00448845
